id,diary,text,date,dateTop,notDated,julian_calendar,person
104986,402,"<p>Сегодня в 10.15 приехала мама, она привезла мне коллекцию уральских камней. Мне — большую, Андрюше — маленькую. Как это хорошо, что мама приехала. Я ведь не видела её 2 месяца и 4 дня.  </p><p>
Сейчас села читать Маяковского. Очень нравится «Христофор Колумб». Особенно слова: «Ты балда, Колумб, скажу по чести, что касается меня, то я бы лично, я б Америку закрыл, слегка почистил, а потом опять открыл вторично» и «Сергею Есенину». Завтра я опять уезжаю в Кавголово.</p>",1958-08-18,0000-00-00,0,0,394
104987,402,"<p>Вчера пошла в четвёртый класс. Впервые было пять уроков. Новожилов сломал себе обе руки, но они у него уже срослись, Альтшулер тоже сломал руку и держит на перевязи. Начала читать «Флаг родины» Жюль Верна.</p>",1958-09-01,0000-00-00,0,0,394
104988,402,"<p>Сегодня исполнилось 40 лет орденоносному Комсомолу. Наше звено сделало подарки к 40-летию: полочку, петуха, салфетку, корзинку — 4 подарка. Скоро и мы станем комсомольцами, скорей бы.  </p><p>
«Читать это значит превратить часы скуки в часы развлечения».</p>",1958-09-29,0000-00-00,0,0,394
104989,402,"<p>Американский учёный увидел на Луне извергающийся вулкан. Вулкан не может действовать без атмосферы. А раз есть атмосфера, значит есть и Жизнь. Луна более древняя планета, чем земля. Есть предположение, что раньше там была жизнь, на время угасла, и вот опять началась. По-моему, это даже глупо, гораздо умнее будет утверждать, что на Луне всегда была жизнь. Какая радость — на Луне есть Жизнь!  </p><p>
Из газет: «Первый год семилетки начался с запуска космической ракеты во вселенную. Хорошее начало!»</p>",1958-11-11,0000-00-00,0,0,394
104990,402,"<p>Сегодня в класс пришла старшая вожатая. Раздала всем пионерам маленькие красные книжки, на которых золотыми буквами было написано «Личная книжка пионера». «С этой книжкой вы будете вступать в Комсомол», — сказала вожатая. «В этой книжке будут отмечаться поощрения и выговоры, если они имеются». В книжке законы, обещания, ступеньки. Глядя на эту книжку, можно отдать для пионерской организации всё. Это как бы пионерский документ. Теперь у меня три пионерских вещи — галстук, книжка и значок.</p>",1959-01-13,0000-00-00,0,0,394
104991,402,<p>Сегодня в 19 часов началась перепись населения. Только что были у нас.</p>,1959-01-15,0000-00-00,0,0,394
104992,402,"<p>Сегодня кончила читать роман Жюль Верна «Робур-завоеватель». Роман понравился смелым полётом мысли о самолёте, о воздушном корабле, о превосходстве мотора над газом. В то время, когда самая мысль о самолёте была несбыточной мечтой.</p>",1959-01-16,0000-00-00,0,0,394
104993,402,"<p>Прочитала А. Блока «Двенадцать». Очень понравилось, хотя автор не знакомит нас ни с кем из 12, характеры, поступки ясны и понятны.</p>",1959-01-18,0000-00-00,0,0,394
104994,402,"<p>Прочитала роман Жюль Верна «Таинственный остров». Этот роман один из немногих, посвящённых процессу труда.</p>",1959-01-29,0000-00-00,0,0,394
104995,402,<p>Была в панорамном кино. Очень понравились хорошие звуковые эффекты. 96 громкоговорителей в разных концах зала. Экран высотой в 11 метров. Фильм назывался «Широка страна моя родная».</p>,1959-02-09,0000-00-00,0,0,394
104996,402,"<p>Сегодня уехал мой первый учитель английского Игорь Самуилович. Сегодня был последний урок, по учебнику шестого класса. Я его даже немного полюбила. Он уезжает в Находку, там он будет работать в порту, обещал присылать оттуда редкие марки, открытки, этикетки и тому подобное. Приедет лет через пять. Я буду, наверное, огромной девицей, с чёлкой, быстрым разговорчиком. И смазливым лицом. Да, как быстро идёт время.</p>",1959-02-20,0000-00-00,0,0,394
104997,402,"<p>Вчера я написала отзыв о книге Гайдара «Тимур и его команда». У нас в классе идёт литературная игра, в ней пять туров. В первом я не участвовала, во втором набрала 10 очков. В первом туре выиграл Вовк-Курелех и Альтшулер. Первый и второй туры были скучные, подумаешь! Подвели к стенду и сказали: «Дети, запоминайте, где какая книжка стоит». Но пятый интересный. Я заняла первое место, если Альтшулер не принесёт что-нибудь сверхгениальное.  </p><p>
В дневник я не писала, потому что болела, ведь была эпидемия гриппа.</p>",1959-03-17,0000-00-00,0,0,394
104998,402,"<p>Ой, как давно не писала! За это время у меня был день рождения — 11 лет. Я окончила школу довольно прилично. Сейчас я в поезде, еду в Тбилиси, а потом в Сочи. Я буду купаться в Чёрном море. Как это, наверное, приятно! Очень тяжело простились с Берточкой, мы договорились, что сегодня в 12 часов ночи мы будем вспоминать друг друга. А сейчас я качаюсь над маминой головой, над моей головой качается пижама. Сейчас принесли чай.</p>",1959-06-11,0000-00-00,0,0,394
104999,402,"<p>Вечер. Довольно скучно.  </p><p>
Недавно я приехала в Тбилиси. Это чудный красивый город с высокими домами, храмами, собором. Люди тут есть хорошие, есть плохие — как везде. По меткому выражению, здесь знают арифметику. Напускной поверхностный темперамент, но бывают скромные скрытные грузины, как например Чебукиани. Я здесь смотрела балет «Отелло». Это гениально. Особенно великолепен Чебукиани. И Кикалейшвили — Яго. Меня это поразило, привело в восторг, оказывается, есть ещё шедевры.  </p><p>
Берточка прислала сто рублей мне на фрукты, сегодня напишу ей письмо.  </p><p>
Спектакли здесь идут отлично. Особенно «Синьор Марио пишет комедию» и «Пять вечеров» Володина.</p>",1959-07-02,0000-00-00,0,0,394
105000,402,"<p>Поздний вечер. Сейчас я пишу в кровати. У нас празднуют отъезд. Завтра в 5.30 мы уезжаем. Сейчас над моим ухом произносят тосты Товстоногов и тамада Мирабов. Поёт Юрский блатные песни. Лескин вспоминает слова, сочинённые им самим «Евреи в горах».  </p><p>
Хотела сегодня написать о грузинском базаре, не удаётся, придётся написать в Сочи.</p>",1959-07-24,0000-00-00,0,0,394
105001,402,"<p>Мы уже давно приехали в Сочи. Город мне очень понравился, но особенно море. Только здесь я поняла, какое счастье мне доставила мама. Скучаю по Тбилиси. Решила наконец написать «грузинский базар».  </p><p>
Мы приехали в Тбилиси. Здесь всё удивительно и не похоже на нашу жизнь, особенно люди. Они темпераментные, может быть фальшиво, много поют и так же много пьют. В Тбилиси нет слов «мало», только «много», даже на базаре всё продают в большом количестве, полкило ни овощей, ни фруктов не продают.  </p><p>
В Тбилиси много любопытных мест, но мне больше всего понравился базар. Это большое двухэтажное здание. Как только входишь, сразу на тебя со всех сторон обрушиваются крики, визг, ругань. Шум стоит невероятный. В Тбилиси вообще много кричат, например, иду я однажды по улице, вдруг слышу душераздирающие крики, оборачиваюсь: что это? Пожар, наводнение, драка? Оказывается, это грузчики-грузины мило беседуют. То же самое происходит и на базаре.  </p><p>
Многие продавцы сидят прямо на грязном заплёванном полу. Они продают фрукты, овощи, мясо. Особенно много на базаре фруктов, они самые разные: огромные персики, крошечная алыча, абрикосы, клубника, вишня, черешня, груши, яблоки и даже земляника.  </p><p>
Много на базаре мяса. В углу стоят клетки с живыми курами. Покупатель открывает клетку, вынимает куру и под её отчаянный визг уходит с базара.  </p><p>
Продавцы здесь, так же как и фрукты, самые разные, начиная с восьмилетних мальчиков и кончая 80-летними стариками. Очень много на базаре курдов. Курды — это среднеазиатские кочевники, впоследствии курды перебрались в Грузию. Сейчас живут там, некоторые по берегам Куры в землянках, некоторые — в убогих домишках на окраинах. Они очень умные, но отсталые и очень ленивые.  </p><p>
На базаре много женщин, они одеты в длинные разноцветные тонкие платки. Много также детей, они продают сыр, тархун.  </p><p>
В Сочи я подружилась со многими артистами, например, с Ольхиной, Талановой, Сиротой и др. Вчера мы с тётей Розой Сиротой были на Агурах — Орлиных скалах. Это было довольно мило. Мы с тётей Розой доехали на такси до Агуров и там пошли пешком. Дорога сразу пошла круто в горы, это было плохое начало. Тётя Роза сразу выдохлась. Вскоре мы вышли на небольшое озеро, я сфотографировала его, и мы пошли дальше. Вскоре нам пришлось идти (спешу добавить, что ей 35 лет и она довольно полная) по узкой горной тропинке. Потом мы вышли на широкую тропинку и не торопясь пошли по ней. Людей не было, стояла мёртвая тишина, если не считать наших довольно громких восторженных разговоров, во время которых я несколько раз чуть не свалилась в пропасть, и грома, который гремел ещё далеко. Пройдя по висячему мостику, мы предполагали выйти к знаменитым водопадам, которые с бешеной силой несут свои воды... Но вместо этого увидели грязную лужу. Запечатлев её, мы двинулись обратно.  </p><p>
Вскоре мы дошли до небольшой беседки, на которой было написано «Укрытие от дождя». Мы и не заметили, как появились тучи, пошёл мелкий дождь, но до выхода оставалось совсем немного, и мы мужественно двинулись в путь. Но нам пришлось возвратиться в беседку. В ней уже было человек 15. Мы думали, что найдём в ней надёжное укрытие, но увы! Беседка протекала. Началась большая гроза. Холод. Мы вдруг почувствовали себя очень несчастными. У тёти Розы оторвалась застёжка от босоножки. К тому же мы промокли до нитки. В общем, на нашу долю выпали все горести и невзгоды, которые приходится терпеть туристам. Дождь прошёл, и мы двинулись в обратный путь. Как только мы вышли из беседки, тётя Роза упала. Она поднялась и сказала, что это начало не предвещает ей ничего хорошего, я полностью согласилась с ней. Вскоре перед нами встала неразрешимая задача — преодолеть крутой спуск. Я пошла первая и упала — довольно больно. Такие же неудачные попытки делала несколько раз тётя Роза. Наконец она выронила зонтик, и он неумолимо медленно начал сползать вниз. Я бросилась за ним и упала, тогда за ним ринулась тётя Роза, она тоже упала и барахталась в грязи, стараясь выловить зонтик, я стояла на коленях и, простирая руки к небу, дрожащим голосом спрашивала её: тётя Розочка, чем я могу помочь вам? Она не отвечала, упорно продолжая барахтаться. Наконец нам удалось подняться, мы спустились к горному озерку, вымыли руки, тётя Роза выстирала юбку, и мы в мокрой грязной одежде, голодные, еле добрались до гостиницы.  </p><p>
Теперь я вспоминаю это путешествие с некоторым содроганием и даже страхом. «Труп студента в пруду полоскался, молодой жизнерадостный труп».  </p><p>
Сегодня была на концерте Александровича.</p>",1959-08-19,0000-00-00,0,0,394
105002,402,"<p>12 сентября запустили на Луну вторую космическую ракету. Сегодня, 14 сентября, в 0 часов 1 минуту 54 секунды ракета прилунилась на Луну, предварительно обогнув Землю и исследовав магнитное поле Земли и Луны. Это великое событие совпало с другим не менее великим событием: вчера в Неву вошёл первый в мире атомный ледокол «Ленин». Хрущёв уехал в Америку на переговоры с Эйзенхауэром. Я сегодня, как обычно, вернулась из школы в плохом настроении. Мною овладела какая-то меланхолия. Села читать Диккенса (совсем не потому, что мною овладела меланхолия), решила — так как я почти ничего не читала Пушкина и Диккенса, начать читать книги этих авторов. А так как книги сложные, а я хочу их хорошо понять, буду записывать своё мнение о каждой главе. Сегодня или завтра начну с Пушкина «Евгения Онегина».  </p><p>
1 chapter. Портрет Онегина, портрет «философа в осьмнадцать лет» — он поверхностно знал много наук. Любил балы, светские развлечения, ножки дам. Любил себя. Но вскоре всё надоело, он уехал в деревню.</p>",1959-09-14,0000-00-00,0,0,394
105003,402,"<p>Давно прочитала «Онегина», он мне понравился. Мне вообще нравится пушкинский слог.  </p><p>
Несколько дней тому назад была в Комарово, мама там сейчас отдыхает, мы гуляли по лесу, и мне всё время на ум приходили стихи Пушкина: «Октябрь уж наступил…».  </p><p>
Наверно поеду сейчас на Невский, хотя у меня ни гроша в кармане. Да это не беда, можно захватить с собой оптимизм и спокойно гулять. Но всё-таки я предпочитаю гулять практически и потому могу сдать бутылки.  </p><p>
Последнее время на меня нападает какая-то меланхолия, наверно, от недосыпания. Да, я сейчас занимаюсь в кружке юнкоров. У меня стала плохая память, забываю английский.</p>",1959-09-25,0000-00-00,0,0,394
105004,402,"<p>Сегодня опять неприятности в школе. Борька Пушко захотел отомстить Петру Георгиевичу Татарникову, нашему учителю арифметики, за то, что он орёт на всех на уроках и ставит всем двойки. Мы решили написать объявление и маленькие бумажки: «Долой Петра Георгиевича, который горячо любит крики и не менее горячо 2-и». Мы повесили объявление на маленькую доску в углу, а маленькие бумаги разбросали по партам. Сначала Пётр Георгиевич ничего не заметил, а потом увидел, прочитал и засмеялся. А потом перехватил бумажку у Дергачёва и сказал обо всём Аделии Николаевне. Она оставила всех после уроков и разнесла в пух и прах. Борька всё свалил на меня, и Аделия Николаевна сказала, что она поставит вопрос о моём исключении из школы. Почти все ребята мне сочувствуют, но Борька, Новожилов и Заболотный против меня. Мне всё-таки тяжело.</p>",1959-10-07,0000-00-00,0,0,394
105005,402,"<p>На сегодня в кружке было задание написать два стихотворения «моя характеристика» и «мой день». Я назвала второе «Ода двойке». Получилось очень хорошо. Какая-то лёгкость во всём, мне хочется писать и писать, но это чувство быстро проходит. Меня назначили редактором общешкольной газеты. Неприятности в школе. Игорь Самуилович прислал открытку.</p>",1959-10-16,0000-00-00,0,0,394
105006,402,"<p>Вчера я заболела, ещё не знаю чем, скоро придёт врач. У нас организовался отряд «К. С.». В редакции «Ленинских искр» нам дали задание разыскать пионеров, которые участвовали в командах Т. К. или тушили бомбы. Мы начали с РОНО, взяли список школ, которые работали в блокаду. Оказывается, наша школа тоже работала до 42 г. Сегодня Ирка пошла в канцелярию нашей школы и достала список тех, кто учился в годы блокады. В общем, дела хороши. Я записалась в Публичную библиотеку. Да, самое главное: 7 октября запустили ракету на Луну, она облетела Луну и сфотографировала часть Луны, которую не видел ни один человеческий глаз.</p>",1959-10-28,0000-00-00,0,0,394
105007,402,<p>Сегодня мне пришло анонимное письмо следующего содержания: «Поздравляю с 42 годовщиной» подпись: «Дорогой друг».</p>,1959-11-01,0000-00-00,0,0,394
105008,402,"<p>Вчера прочитала «Кто виноват?» Герцена, на вопрос, поставленный автором, отвечаю: Бельтова, Бельтов, Жозеф. Главная мысль книги: останови свою любовь или не показывай её тому, кого любишь, если твоя любовь может принести ему несчастье. Самое главное — найти своё место в жизни и понять свой талант.</p>",1959-11-18,0000-00-00,0,0,394
105009,402,"<p>Сегодня должен был быть кружок во Дворце. Я пришла очень рано, бродила по Дворцу. Нашла укромный уголок, маленький садик в комнате в форме полукруга. Есть даже фонтан, правда, редко работающий. Вид из окна — на центральный вход. В боковых стенах камин из камня. На потолке светлая картина. Это будет моё прима-место. Я буду часто туда ходить.</p>",1960-03-01,0000-00-00,0,0,394
105010,402,"<p>Вчера мне было плохо и сегодня поэтому не пошла в школу. Учусь теперь очень хорошо, лучше всех в классе. Как бы не сорваться!  </p><p>
Кстати, 16 апреля Толька Власов весь день говорил, что Костров в меня безумно влюбился и хочет со мной дружить. Узнав об этом, я подумала, что можно перефразировать Пушкина: «чем меньше мальчика мы любим, тем больше нравимся ему». Кострова я очень часто била по морде. Один раз он кинул в меня карандаш. Я в ответ закатила ему при всём классе здоровенную пощёчину, а теперь он в меня влюбился. После уроков Костров догнал меня в подворотне и спросил: «Будешь?», я сказала: «Что будешь?» Он сердито крикнул: «А ничего! Тебе Власов сказал». Я ответила: «Ну давай». И он убежал.  </p><p>
В Комарово я познакомилась с сыном Володина Володей Лившицем. Говорят, что у него гениальные способности в математике. Он мне очень понравился, я ему тоже. Его мать Фрида говорила моей маме, что он даже сказал ей: «умная девочка», у него это редко.  </p><p>
Вчера на географии завуч Федосеева сказала, что я умнее всех в классе и вообще единственная в классе быстро соображаю. Но хватит петь себе дифирамбы.</p>",1960-04-21,0000-00-00,0,0,394
105011,402,"<p>17 мая мне исполнилось 12 лет. Кончился переход от детства к отрочеству. Детство прошло, оно было хорошим, даже очень хорошим, конечно, грустно расставаться с ним.  </p><p>
Вот и прошла 1-я стадия моей жизни.  </p><p>
Сегодня к нам пришёл Лёня. Сейчас в Ленинграде финальные соревнования по боксу. Позавчера Лёня выиграл, а сегодня проиграл. Он пришёл грустный и чуть не плакал. Его тренер Сегалович тоже огорчён, но его подбадривал. Звонила тётя Соня, Лёню успокаивала.  </p><p>
Теперь отрочество.  </p><p>
Кстати, на дне рожденья Вовка Костров признался мне в любви. Весь класс про это знает. И на дне рожденья все над ним подтрунивали: «Костров, кто избранница твоего сердца?». Вот он и сказал.</p>",1960-05-21,0000-00-00,0,0,394
105012,402,"<p>Завтра утром уезжаю в лагерь в Сестрорецк. После лагеря поеду с мамой на дачу.  </p><p>
Я давно не писала, за это время к нам приехала Роза с Андрюшей. Андрей вырос, ему никак не дашь три года. Вчера Берта дала ему скисший бульон, и Андрею стало плохо, вызвали врача. Врач сказал — дизентерия, и его отвезли в больницу. Берта поехала с ним. А сегодня выяснилось, что диагноз неточен, но как раз в это время пришла дезинфекция. Хотя им сказали, что больных дизентерией нет, они чуть не силой ворвались в комнату и принципиально облили стены хлоркой.  </p><p>
Берта сшила мне тёмно-коричневые брюки, а Роза привезла терракотовый лыжный костюм. По случаю моего отъезда в лагерь мы с мамой решили встретиться в кафе «Север» на Невском. Мне подстригли волосы «под фокстрот». Я была одета страшно элегантно, и все на меня глазели.  </p><p>
Кстати, я закончила 5-й класс довольно средне.</p>",1960-07-08,0000-00-00,0,0,394
105013,402,"<p>Начала я учиться неплохо. Мне звонили из Дворца пионеров, приглашали зайти. Я пришла, и теперь занимаюсь в кружке 8–11 классов. Я одна там такая маленькая. Мальчишки там смешные, один всё время прикусывает губу, он очень похож на римского патриция. Софка Фридман в этом же кружке, написала длинный рассказ о любви, мне не понравилось. Ещё в кружке есть мальчишка Девяткин, довольно способный, с хитрыми глазами. Там есть тоненькая, с миниатюрной головкой девочка лет 15, держится аристократически, задумавшая написать роман про очень интересного человека.  </p><p>
В первой четверти я подружилась с Костровым. Мы, т. е. я, Толька и Вовка, играли в теннис. Немного ссорились. Он заразил меня своей любовью. Сегодня он был у меня, мы долго разговаривали. Сейчас я пишу повесть о наших ребятах.  </p><p>
Недавно я узнала от тёти, что когда она была в Киеве, она узнала о моём папе. И узнала, что он заведует кафедрой в институте. Раньше я никогда не чувствовала любви к нему. А в этом году я поняла всё. Я почувствовала его каждой кровинкой, каждой клеточкой. Однажды на пении я плакала оттого, что его у меня нет. Летом я поеду с мамой на гастроли в Киев, там обязательно увижу его. Недавно был концерт самодеятельности, я выступала с большим успехом. Да, забыла рассказать о лете. В лагере было плохо. Ирка строила всё время козни. Я дружила с Регинкой, способная девочка, но иногда надоедала, как слишком приторная конфета, пухлая, белая.  </p><p>
За ней бегало много мальчишек. В меня влюбился Ж. Янокопулос и некоторые другие.  </p><p>
Теперь я дружу с Надькой. Иногда вечером гуляем по бульварчику. Рассказываем разные таинственные истории, смотрим на звёзды и чувствуем, что мы самые близкие люди на свете.</p>",1960-11-24,0000-00-00,0,0,394
105014,402,"<p>Только что была Надька, пекли картошку. По радио поют песни и спорят о красоте жизни, читаю журнал «Англия».</p>",1960-11-26,0000-00-00,0,0,394
